pr_id,review_count,request_changes_count,comment_count,post_review_review_count
2833741234,0,0.0,3.0,0
2833789929,1,0.0,5.0,0
2833954603,0,0.0,2.0,0
2834062498,1,0.0,2.0,0
2834302117,0,0.0,1.0,0
2834352797,0,0.0,2.0,0
2834395087,1,0.0,6.0,0
2834465535,2,0.0,3.0,1
2834594365,0,0.0,3.0,0
2834670369,0,0.0,1.0,0
2834747103,0,0.0,1.0,0
2834803615,0,0.0,4.0,0
2834928458,4,0.0,6.0,3
2835570479,0,0.0,1.0,0
2835588152,0,0.0,1.0,0
2835589635,0,0.0,1.0,0
2835623169,0,0.0,1.0,0
2836119981,0,0.0,3.0,0
2836251474,2,0.0,5.0,1
2836332099,1,0.0,0.0,0
2836434163,1,0.0,2.0,0
2836446355,3,0.0,5.0,2
2836523710,1,0.0,5.0,0
2836582189,0,0.0,2.0,0
2836598978,1,0.0,5.0,0
2836651889,0,0.0,5.0,0
2836653590,2,1.0,11.0,1
2836672024,0,0.0,1.0,0
2836723533,0,0.0,2.0,0
2836834633,0,0.0,3.0,0
2836897692,1,0.0,1.0,0
2836928725,2,0.0,5.0,1
2836932946,0,0.0,2.0,0
2836984102,2,1.0,19.0,1
2836994029,2,0.0,8.0,1
2836998661,1,0.0,2.0,0
2837131747,4,0.0,6.0,3
2837133189,4,0.0,6.0,3
2837154464,0,0.0,2.0,0
2837160967,0,0.0,2.0,0
2837178771,0,0.0,1.0,0
2837285601,0,0.0,1.0,0
2838401502,0,0.0,2.0,0
2838703244,0,0.0,3.0,0
2838744329,0,0.0,2.0,0
2838755753,0,0.0,1.0,0
2838805191,0,0.0,3.0,0
2838835712,0,0.0,2.0,0
2838837697,1,0.0,4.0,0
2838857193,4,0.0,5.0,3
2838943759,4,1.0,6.0,3
2838982087,1,0.0,2.0,0
2838987433,0,0.0,3.0,0
2838992710,1,0.0,2.0,0
2839069412,2,1.0,2.0,1
2839156594,0,0.0,2.0,0
2839176660,3,0.0,4.0,2
2839235152,0,0.0,2.0,0
2839243895,0,0.0,2.0,0
2839268319,0,0.0,2.0,0
2839273370,6,0.0,8.0,5
2839327801,4,0.0,3.0,3
2839339063,0,0.0,3.0,0
2839342730,0,0.0,2.0,0
2839377784,1,0.0,2.0,0
2839378596,0,0.0,2.0,0
2839409936,0,0.0,2.0,0
2839448717,0,0.0,3.0,0
2839674957,0,0.0,1.0,0
2839805003,0,0.0,1.0,0
2839806041,0,0.0,3.0,0
2840011330,2,1.0,2.0,1
2840014261,1,0.0,3.0,0
2840161375,1,0.0,2.0,0
2840202434,1,0.0,2.0,0
2840213744,1,0.0,2.0,0
2840370790,0,0.0,1.0,0
2840453828,0,0.0,3.0,0
2840469667,1,0.0,6.0,0
2840501983,1,0.0,4.0,0
2840519868,1,0.0,3.0,0
2840540666,1,0.0,5.0,0
2840686963,1,0.0,2.0,0
2840922653,0,0.0,2.0,0
2840926622,0,0.0,2.0,0
2840948389,0,0.0,2.0,0
2840957018,0,0.0,2.0,0
2840961890,0,0.0,2.0,0
2840965814,0,0.0,2.0,0
2840970710,0,0.0,2.0,0
2840986793,0,0.0,2.0,0
2840989266,0,0.0,2.0,0
2840993604,0,0.0,2.0,0
2840996945,0,0.0,2.0,0
2841002189,0,0.0,2.0,0
2841020962,0,0.0,1.0,0
2841023413,0,0.0,2.0,0
2841023696,0,0.0,2.0,0
2841027811,12,0.0,15.0,11
2841035709,4,1.0,6.0,3
2841184790,1,0.0,14.0,0
2841220730,0,0.0,3.0,0
2841314055,2,0.0,9.0,1
2841428074,0,0.0,1.0,0
2841642798,0,0.0,2.0,0
2841678167,0,0.0,3.0,0
2841681750,2,0.0,7.0,1
2842178996,0,0.0,2.0,0
2842228579,0,0.0,2.0,0
2843181529,0,0.0,4.0,0
2843312341,0,0.0,2.0,0
2843318713,1,0.0,4.0,0
2843334531,0,0.0,3.0,0
2844078423,0,0.0,3.0,0
2844207207,1,0.0,3.0,0
2844229241,0,0.0,2.0,0
